,Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
JobSatisfaction,-0.004891877148687139,0.030571007837143987,-0.0036688391677205845,-0.011296116736574,,-0.0462467349394177,-0.006784352599075003,-0.07133462437378799,-0.02147591033530647,-0.0019437080267456475,1.0,-0.007156742355912719,0.0006439169427037874,-0.05569942601274607,0.020002039364081917,0.002297197063780652,-0.012453593161926731,,0.010690226120755765,-0.02018507268501679,-0.005779334958609121,-0.019458710212973945,-0.0038026279482880386,-0.0023047852298301286,-0.018213567810190835,-0.027656213884289984
MonthlyIncome,0.4978545669265799,0.00770705887200606,-0.017014444745275872,0.09496067704188885,,-0.01482851587378469,-0.006259087754780172,-0.015794304380893,-0.015271490778732844,0.9502999134798473,-0.007156742355912719,1.0,0.03481362613412185,0.1495152159896981,-0.027268586440314484,-0.017120138237390753,0.025873436137557645,,0.0054076766968122495,0.7728932462543575,-0.021736276823893324,0.030683081556940574,0.5142848257331957,0.3638176669287085,0.3449776381654271,0.34407888325872116
MonthlyRate,0.028051167133922705,-0.03218160152258195,0.027472863548884112,-0.02608419716004752,,0.012648229168461405,0.03759962286571536,-0.015296749550649696,-0.016322079053317298,0.039562951045683886,0.0006439169427037874,0.03481362613412185,1.0,0.01752135341557158,-0.006429345946711378,-0.009811428489360811,-0.004085329337519677,,-0.03432283020666082,0.02644247117601538,0.001466880632285839,0.007963157516977029,-0.023655106706177265,-0.012814874370471692,0.0015667995146762005,-0.03674590533676939
NumCompaniesWorked,0.2996347579836926,0.03815343427940981,-0.02925080419729302,0.12631656017668452,,-0.0012510320398018576,0.012594323218943276,0.022156883390196846,0.015012413243111008,0.14250112381048732,-0.05569942601274607,0.1495152159896981,0.01752135341557158,1.0,-0.01023830935992553,-0.014094872753535138,0.05273304856488615,,0.0300754750968975,0.23763858978479555,-0.06605407172783645,-0.00836568479005862,-0.11842134024259103,-0.09075393370080809,-0.03681389238350809,-0.11031915543773245
PercentSalaryHike,0.0036335849148618803,0.022703677496334965,0.04023537745919307,-0.011110940860654171,,-0.012943995546151693,-0.03170119524179209,-0.009061986253740174,-0.017204572244480378,-0.03473049227941818,0.020002039364081917,-0.027268586440314484,-0.006429345946711378,-0.01023830935992553,1.0,0.7735499964012669,-0.04049008105707737,,0.00752774782052019,-0.020608487617691268,-0.005221012351721006,-0.0032796360093680713,-0.03599126243195374,-0.0015200265442777948,-0.022154312598866098,-0.011985248472361395
PerformanceRating,0.0019038955127587442,0.00047329632718857745,0.027109618481975985,-0.02453879116483358,,-0.020358825146958446,-0.029547952297680934,-0.002171697427810238,-0.029071333439069803,-0.021222082108857194,0.002297197063780652,-0.017120138237390753,-0.009811428489360811,-0.014094872753535138,0.7735499964012669,1.0,-0.03135145544245486,,0.0035064716148097384,0.006743667905953145,-0.01557888173913759,0.0025723613176825933,0.0034351261159238314,0.03498626040719498,0.01789606614479978,0.02282716890847979
RelationshipSatisfaction,0.053534719671229365,0.007846030957248399,0.006557474646578781,-0.009118376696381549,,-0.06986141146763768,0.00766538354107456,0.0013304527859508092,0.034296820611197765,0.02164151053259162,-0.012453593161926731,0.025873436137557645,-0.004085329337519677,0.05273304856488615,-0.04049008105707737,-0.03135145544245486,1.0,,-0.04595249071656188,0.024054291821341493,0.0024965263921169958,0.019604405703968708,0.019366786877455442,-0.015122914881937753,0.033492502069354196,-0.0008674968446256665
StandardHours,,,,,,,,,,,,,,,,,,,,,,,,,,
StockOptionLevel,0.03750971242477751,0.042142796377206665,0.04487199885318152,0.018422220204016834,,0.062226692513623116,0.0034321577550574123,0.05026339906511952,0.02152264037802388,0.013983910528615466,0.010690226120755765,0.0054076766968122495,-0.03432283020666082,0.0300754750968975,0.00752774782052019,0.0035064716148097384,-0.04595249071656188,,1.0,0.01013596931890162,0.011274069611249233,0.004128730002871328,0.015058008028094469,0.05081787275393161,0.014352184864355477,0.02469822656303006
TotalWorkingYears,0.6803805357911984,0.014514738706320921,0.004628425863783848,0.14827969653887327,,-0.014365198461301108,-0.0026930703885342092,-0.0023336818233222994,-0.0055331820574074445,0.7822078045362748,-0.02018507268501679,0.7728932462543575,0.02644247117601538,0.23763858978479555,-0.020608487617691268,0.006743667905953145,0.024054291821341493,,0.01013596931890162,1.0,-0.03566157127961907,0.0010076456218964947,0.6281331552682468,0.46036463801181005,0.40485775850255873,0.45918839708314385
TrainingTimesLastYear,-0.019620818942698487,0.0024525427120831262,-0.03694223433991581,-0.02510024113793335,,0.023603169591926723,-0.019359308347132505,-0.008547685209270621,-0.015337825759429127,-0.01819055019354939,-0.005779334958609121,-0.021736276823893324,0.001466880632285839,-0.06605407172783645,-0.005221012351721006,-0.01557888173913759,0.0024965263921169958,,0.011274069611249233,-0.03566157127961907,1.0,0.028072206603628722,0.003568665678427471,-0.0057375043379569,-0.0020665360380059394,-0.004095526021226215
WorkLifeBalance,-0.021490027957098697,-0.037848051005781765,-0.026556004106569032,0.00981918930978192,,0.0103086414379659,0.02762729546011543,-0.004607233750264546,-0.014616593162761878,0.03781774559666641,-0.019458710212973945,0.030683081556940574,0.007963157516977029,-0.00836568479005862,-0.0032796360093680713,0.0025723613176825933,0.019604405703968708,,0.004128730002871328,0.0010076456218964947,0.028072206603628722,1.0,0.012089185354581318,0.049856497922204354,0.00894124914123432,0.002759440242340441
YearsAtCompany,0.3113087697450989,-0.03405476756854741,0.009507719899011292,0.06911369603133861,,-0.01124046370811405,0.0014575491911164825,-0.019581616209121286,-0.02135542697962974,0.5347386873756309,-0.0038026279482880386,0.5142848257331957,-0.023655106706177265,-0.11842134024259103,-0.03599126243195374,0.0034351261159238314,0.019366786877455442,,0.015058008028094469,0.6281331552682468,0.003568665678427471,0.012089185354581318,1.0,0.7587537366134618,0.6184088652176046,0.7692124251007031
YearsInCurrentRole,0.21290105556556793,0.009932014960094241,0.018844999108945746,0.06023555412069576,,-0.008416311998425956,0.018007460142878535,-0.02410622020878496,0.0087169634976117,0.3894467328766706,-0.0023047852298301286,0.3638176669287085,-0.012814874370471692,-0.09075393370080809,-0.0015200265442777948,0.03498626040719498,-0.015122914881937753,,0.05081787275393161,0.46036463801181005,-0.0057375043379569,0.049856497922204354,0.7587537366134618,1.0,0.5480562476995187,0.7143647616385931
YearsSinceLastPromotion,0.2165133678516537,-0.03322898478777201,0.010028835943115388,0.05425433359132023,,-0.009019064206633414,0.01619360556845335,-0.026715586064335238,-0.02418429236517908,0.3538853469641022,-0.018213567810190835,0.3449776381654271,0.0015667995146762005,-0.03681389238350809,-0.022154312598866098,0.01789606614479978,0.033492502069354196,,0.014352184864355477,0.40485775850255873,-0.0020665360380059394,0.00894124914123432,0.6184088652176046,0.5480562476995187,1.0,0.5102236357788084
YearsWithCurrManager,0.20208860237515267,-0.026363178228837648,0.014406048430629982,0.0690653782552846,,-0.009196645292770467,-0.004998722628107572,-0.02012320018406598,0.02597580794908897,0.37528060776572625,-0.027656213884289984,0.34407888325872116,-0.03674590533676939,-0.11031915543773245,-0.011985248472361395,0.02282716890847979,-0.0008674968446256665,,0.02469822656303006,0.45918839708314385,-0.004095526021226215,0.002759440242340441,0.7692124251007031,0.7143647616385931,0.5102236357788084,1.0
