Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
34.0,2,699.0,1,6.0,1.0,3,1.0,31.0,2.0,1,83.0,3.0,1.0,6,1.0,2,2960.0,17102.0,2.0,0,0,11.0,3.0,3.0,80.0,0.0,8.0,2.0,3.0,4.0,2.0,1.0,3.0,1
53.0,2,1282.0,1,5.0,3.0,4,1.0,32.0,3.0,0,58.0,3.0,5.0,3,3.0,0,19094.0,10735.0,4.0,0,0,11.0,3.0,4.0,80.0,1.0,26.0,3.0,2.0,14.0,13.0,4.0,8.0,0
32.0,1,1125.0,1,16.0,1.0,1,1.0,33.0,2.0,0,72.0,1.0,1.0,6,1.0,2,3919.0,4681.0,1.0,0,1,22.0,4.0,2.0,80.0,0.0,10.0,5.0,3.0,10.0,2.0,6.0,7.0,1
42.0,2,691.0,2,8.0,4.0,2,1.0,35.0,3.0,1,48.0,3.0,2.0,7,2.0,1,6825.0,21173.0,0.0,0,0,11.0,3.0,4.0,80.0,1.0,10.0,2.0,3.0,9.0,7.0,4.0,2.0,0
44.0,2,477.0,1,7.0,4.0,3,1.0,36.0,1.0,0,42.0,2.0,3.0,0,4.0,1,10248.0,2094.0,3.0,0,0,14.0,3.0,4.0,80.0,1.0,24.0,4.0,3.0,22.0,6.0,5.0,17.0,0
46.0,2,705.0,2,2.0,4.0,2,1.0,38.0,2.0,0,83.0,3.0,5.0,3,1.0,2,18947.0,22822.0,3.0,0,0,12.0,3.0,4.0,80.0,0.0,22.0,2.0,2.0,2.0,2.0,2.0,1.0,0
33.0,2,924.0,1,2.0,3.0,3,1.0,39.0,3.0,1,78.0,3.0,1.0,2,4.0,2,2496.0,6670.0,4.0,0,0,11.0,3.0,4.0,80.0,0.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,0
44.0,2,1459.0,1,10.0,4.0,4,1.0,40.0,4.0,1,41.0,3.0,2.0,0,4.0,1,6465.0,19121.0,2.0,0,1,13.0,3.0,4.0,80.0,0.0,9.0,5.0,4.0,4.0,2.0,1.0,3.0,0
30.0,2,125.0,1,9.0,2.0,3,1.0,41.0,4.0,1,83.0,2.0,1.0,2,3.0,2,2206.0,16117.0,1.0,0,0,13.0,3.0,1.0,80.0,0.0,10.0,5.0,3.0,10.0,0.0,1.0,8.0,0
39.0,2,895.0,2,5.0,3.0,5,1.0,42.0,4.0,1,56.0,3.0,2.0,8,4.0,1,2086.0,3335.0,3.0,0,0,14.0,3.0,3.0,80.0,1.0,19.0,6.0,4.0,1.0,0.0,0.0,0.0,1
24.0,2,813.0,1,1.0,3.0,3,1.0,45.0,2.0,1,61.0,3.0,1.0,6,4.0,1,2293.0,3020.0,2.0,0,1,16.0,3.0,1.0,80.0,1.0,6.0,2.0,2.0,2.0,0.0,2.0,0.0,1
43.0,2,1273.0,1,2.0,2.0,3,1.0,46.0,4.0,0,72.0,4.0,1.0,6,3.0,0,2645.0,21923.0,1.0,0,0,12.0,3.0,4.0,80.0,2.0,6.0,3.0,2.0,5.0,3.0,1.0,4.0,0
50.0,2,869.0,2,3.0,2.0,2,1.0,47.0,1.0,1,86.0,2.0,1.0,8,3.0,1,2683.0,3810.0,1.0,0,1,14.0,3.0,3.0,80.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,1
35.0,2,890.0,2,2.0,3.0,2,1.0,49.0,4.0,0,97.0,3.0,1.0,8,4.0,1,2014.0,9687.0,1.0,0,0,13.0,3.0,1.0,80.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0
36.0,2,852.0,1,5.0,4.0,1,1.0,51.0,2.0,0,82.0,2.0,1.0,6,1.0,1,3419.0,13072.0,9.0,0,1,14.0,3.0,4.0,80.0,1.0,6.0,3.0,4.0,1.0,1.0,0.0,0.0,0
33.0,1,1141.0,2,1.0,3.0,1,1.0,52.0,3.0,0,42.0,4.0,2.0,7,1.0,1,5376.0,3193.0,2.0,0,0,19.0,3.0,1.0,80.0,2.0,10.0,3.0,3.0,5.0,3.0,1.0,3.0,0
35.0,2,464.0,1,4.0,2.0,4,1.0,53.0,3.0,1,75.0,3.0,1.0,2,4.0,0,1951.0,10910.0,1.0,0,0,12.0,3.0,3.0,80.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0
27.0,2,1240.0,1,2.0,4.0,1,1.0,54.0,4.0,0,33.0,3.0,1.0,2,1.0,0,2341.0,19715.0,1.0,0,0,13.0,3.0,4.0,80.0,1.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,0
26.0,2,1357.0,1,25.0,3.0,1,1.0,55.0,1.0,1,48.0,1.0,1.0,2,3.0,2,2293.0,10558.0,1.0,0,0,12.0,3.0,3.0,80.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1
27.0,1,994.0,2,8.0,3.0,1,1.0,56.0,4.0,1,37.0,3.0,3.0,7,3.0,2,8726.0,2975.0,1.0,0,0,15.0,3.0,4.0,80.0,0.0,9.0,0.0,3.0,9.0,8.0,1.0,7.0,0
30.0,1,721.0,1,1.0,2.0,3,1.0,57.0,3.0,0,58.0,3.0,2.0,2,4.0,2,4011.0,10781.0,1.0,0,0,23.0,4.0,4.0,80.0,0.0,12.0,2.0,3.0,12.0,8.0,3.0,7.0,0
41.0,2,1360.0,1,12.0,3.0,5,1.0,58.0,2.0,0,49.0,3.0,5.0,5,3.0,1,19545.0,16280.0,1.0,0,0,12.0,3.0,4.0,80.0,0.0,23.0,0.0,3.0,22.0,15.0,15.0,8.0,1
34.0,0,1065.0,2,23.0,4.0,2,1.0,60.0,2.0,1,72.0,3.0,2.0,7,3.0,2,4568.0,10034.0,0.0,0,0,20.0,4.0,3.0,80.0,0.0,10.0,2.0,3.0,9.0,5.0,8.0,7.0,0
37.0,2,408.0,1,19.0,2.0,1,1.0,61.0,2.0,1,73.0,3.0,1.0,6,2.0,1,3022.0,10227.0,4.0,0,0,21.0,4.0,1.0,80.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,0
46.0,1,1211.0,2,5.0,4.0,2,1.0,62.0,1.0,1,98.0,3.0,2.0,7,4.0,2,5772.0,20445.0,4.0,0,1,21.0,4.0,3.0,80.0,0.0,14.0,4.0,3.0,9.0,6.0,0.0,8.0,0
35.0,2,1229.0,1,8.0,1.0,1,1.0,63.0,4.0,1,36.0,4.0,1.0,2,4.0,1,2269.0,4892.0,1.0,0,0,19.0,3.0,4.0,80.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0
48.0,2,626.0,1,1.0,2.0,1,1.0,64.0,1.0,1,98.0,2.0,3.0,2,3.0,2,5381.0,19294.0,9.0,0,1,13.0,3.0,4.0,80.0,0.0,23.0,2.0,3.0,1.0,0.0,0.0,0.0,1
28.0,2,1434.0,1,5.0,4.0,5,1.0,65.0,3.0,1,50.0,3.0,1.0,2,3.0,2,3441.0,11179.0,1.0,0,1,13.0,3.0,3.0,80.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1
44.0,2,1488.0,2,1.0,5.0,2,1.0,68.0,2.0,0,75.0,3.0,2.0,7,1.0,0,5454.0,4009.0,5.0,0,1,21.0,4.0,3.0,80.0,1.0,9.0,2.0,2.0,4.0,3.0,1.0,3.0,0
35.0,0,1097.0,1,11.0,2.0,3,1.0,70.0,3.0,1,79.0,2.0,3.0,0,1.0,1,9884.0,8302.0,2.0,0,1,13.0,3.0,3.0,80.0,1.0,10.0,3.0,3.0,4.0,0.0,2.0,3.0,0
26.0,2,1443.0,2,23.0,3.0,2,1.0,72.0,3.0,0,47.0,2.0,2.0,7,4.0,1,4157.0,21436.0,7.0,0,1,19.0,3.0,3.0,80.0,1.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,0
33.0,1,515.0,1,1.0,2.0,1,1.0,73.0,1.0,0,98.0,3.0,3.0,5,4.0,2,13458.0,15146.0,1.0,0,1,12.0,3.0,3.0,80.0,0.0,15.0,1.0,3.0,15.0,14.0,8.0,12.0,0
35.0,1,853.0,2,18.0,5.0,1,1.0,74.0,2.0,1,71.0,3.0,3.0,7,1.0,1,9069.0,11031.0,1.0,0,0,22.0,4.0,4.0,80.0,1.0,9.0,3.0,2.0,9.0,8.0,1.0,8.0,0
35.0,2,1142.0,1,23.0,4.0,3,1.0,75.0,3.0,0,30.0,3.0,1.0,2,1.0,1,4014.0,16002.0,3.0,0,1,15.0,3.0,3.0,80.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,0
31.0,2,655.0,1,7.0,4.0,1,1.0,76.0,4.0,1,48.0,3.0,2.0,2,4.0,0,5915.0,9528.0,3.0,0,0,22.0,4.0,4.0,80.0,1.0,10.0,3.0,2.0,7.0,7.0,1.0,7.0,0
37.0,2,1115.0,1,1.0,4.0,1,1.0,77.0,1.0,1,51.0,2.0,2.0,4,3.0,0,5993.0,2689.0,1.0,0,0,18.0,3.0,3.0,80.0,1.0,7.0,2.0,4.0,7.0,5.0,0.0,7.0,0
32.0,2,427.0,1,1.0,3.0,3,1.0,78.0,1.0,1,33.0,3.0,2.0,4,4.0,1,6162.0,10877.0,1.0,0,1,22.0,4.0,2.0,80.0,1.0,9.0,3.0,3.0,9.0,8.0,7.0,8.0,0
38.0,1,653.0,1,29.0,5.0,1,1.0,79.0,4.0,0,50.0,3.0,2.0,2,4.0,2,2406.0,5456.0,1.0,0,0,11.0,3.0,4.0,80.0,0.0,10.0,2.0,3.0,10.0,3.0,9.0,9.0,0
50.0,2,989.0,1,7.0,2.0,3,1.0,80.0,2.0,0,43.0,2.0,5.0,5,3.0,0,18740.0,16701.0,5.0,0,1,12.0,3.0,4.0,80.0,1.0,29.0,2.0,2.0,27.0,3.0,13.0,8.0,0
59.0,2,1435.0,2,25.0,3.0,1,1.0,81.0,1.0,0,99.0,3.0,3.0,7,1.0,2,7637.0,2354.0,7.0,0,0,11.0,3.0,4.0,80.0,0.0,28.0,3.0,2.0,21.0,16.0,7.0,9.0,0
36.0,2,1223.0,1,8.0,3.0,5,1.0,83.0,3.0,0,59.0,3.0,3.0,0,3.0,0,10096.0,8202.0,1.0,0,0,13.0,3.0,2.0,80.0,3.0,17.0,2.0,3.0,17.0,14.0,12.0,8.0,0
55.0,2,836.0,1,8.0,3.0,3,1.0,84.0,4.0,0,33.0,3.0,4.0,3,3.0,0,14756.0,19730.0,2.0,0,1,14.0,3.0,3.0,80.0,3.0,21.0,2.0,3.0,5.0,0.0,0.0,2.0,0
36.0,1,1195.0,1,11.0,3.0,1,1.0,85.0,2.0,1,95.0,2.0,2.0,4,2.0,2,6499.0,22656.0,1.0,0,0,13.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,6.0,5.0,0.0,3.0,0
45.0,2,1339.0,1,7.0,3.0,1,1.0,86.0,2.0,1,59.0,3.0,3.0,6,1.0,0,9724.0,18787.0,2.0,0,0,17.0,3.0,3.0,80.0,1.0,25.0,2.0,3.0,1.0,0.0,0.0,0.0,0
35.0,1,664.0,1,1.0,3.0,3,1.0,88.0,2.0,1,79.0,3.0,1.0,6,1.0,1,2194.0,5868.0,4.0,0,0,13.0,3.0,4.0,80.0,1.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,0
36.0,2,318.0,1,9.0,3.0,3,1.0,90.0,4.0,1,79.0,2.0,1.0,6,3.0,1,3388.0,21777.0,0.0,0,1,17.0,3.0,1.0,80.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1
59.0,1,1225.0,2,1.0,1.0,1,1.0,91.0,1.0,0,57.0,2.0,2.0,7,3.0,2,5473.0,24668.0,7.0,0,0,11.0,3.0,4.0,80.0,0.0,20.0,2.0,2.0,4.0,3.0,1.0,3.0,0
29.0,2,1328.0,1,2.0,3.0,1,1.0,94.0,3.0,1,76.0,3.0,1.0,6,2.0,1,2703.0,4956.0,0.0,0,0,23.0,4.0,4.0,80.0,1.0,6.0,3.0,3.0,5.0,4.0,0.0,4.0,0
31.0,2,1082.0,1,1.0,4.0,3,1.0,95.0,3.0,1,87.0,3.0,1.0,6,2.0,2,2501.0,18775.0,1.0,0,0,17.0,3.0,2.0,80.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,0
32.0,2,548.0,1,1.0,3.0,1,1.0,96.0,2.0,1,66.0,3.0,2.0,6,2.0,1,6220.0,7346.0,1.0,0,0,17.0,3.0,2.0,80.0,2.0,10.0,3.0,3.0,10.0,4.0,0.0,9.0,0
36.0,2,132.0,1,6.0,3.0,1,1.0,97.0,2.0,0,55.0,4.0,1.0,2,4.0,1,3038.0,22002.0,3.0,0,0,12.0,3.0,2.0,80.0,0.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0
31.0,2,746.0,1,8.0,4.0,1,1.0,98.0,3.0,0,61.0,3.0,2.0,4,4.0,2,4424.0,20682.0,1.0,0,0,23.0,4.0,4.0,80.0,0.0,11.0,2.0,3.0,11.0,7.0,1.0,8.0,0
35.0,2,776.0,2,1.0,4.0,2,1.0,100.0,3.0,1,32.0,2.0,2.0,7,1.0,2,4312.0,23016.0,0.0,0,0,14.0,3.0,2.0,80.0,0.0,16.0,2.0,3.0,15.0,13.0,2.0,8.0,0
45.0,2,193.0,1,6.0,4.0,4,1.0,101.0,4.0,1,52.0,3.0,3.0,5,1.0,1,13245.0,15067.0,4.0,0,1,14.0,3.0,2.0,80.0,0.0,17.0,3.0,4.0,0.0,0.0,0.0,0.0,0
37.0,2,397.0,1,7.0,4.0,3,1.0,102.0,1.0,1,30.0,3.0,3.0,5,3.0,2,13664.0,25258.0,4.0,0,0,13.0,3.0,1.0,80.0,0.0,16.0,3.0,4.0,5.0,2.0,0.0,2.0,0
46.0,2,945.0,0,5.0,2.0,3,1.0,103.0,2.0,1,80.0,3.0,2.0,1,2.0,0,5021.0,10425.0,8.0,0,1,22.0,4.0,4.0,80.0,1.0,16.0,2.0,3.0,4.0,2.0,0.0,2.0,0
30.0,2,852.0,1,1.0,1.0,1,1.0,104.0,4.0,1,55.0,2.0,2.0,2,4.0,1,5126.0,15998.0,1.0,0,1,12.0,3.0,3.0,80.0,2.0,10.0,1.0,2.0,10.0,8.0,3.0,0.0,0
35.0,2,1214.0,1,1.0,3.0,3,1.0,105.0,2.0,1,30.0,2.0,1.0,6,3.0,2,2859.0,26278.0,1.0,0,0,18.0,3.0,1.0,80.0,0.0,6.0,3.0,3.0,6.0,4.0,0.0,4.0,0
55.0,2,111.0,2,1.0,2.0,1,1.0,106.0,1.0,1,70.0,3.0,3.0,7,4.0,1,10239.0,18092.0,3.0,0,0,14.0,3.0,4.0,80.0,1.0,24.0,4.0,3.0,1.0,0.0,1.0,0.0,0
38.0,0,573.0,1,6.0,3.0,3,1.0,107.0,2.0,0,79.0,1.0,2.0,6,4.0,0,5329.0,15717.0,7.0,0,1,12.0,3.0,4.0,80.0,3.0,17.0,3.0,3.0,13.0,11.0,1.0,9.0,0
34.0,2,1153.0,1,1.0,2.0,3,1.0,110.0,1.0,1,94.0,3.0,2.0,4,2.0,1,4325.0,17736.0,1.0,0,0,15.0,3.0,3.0,80.0,0.0,5.0,2.0,3.0,5.0,2.0,1.0,3.0,0
56.0,2,1400.0,1,7.0,3.0,1,1.0,112.0,4.0,1,49.0,1.0,3.0,4,4.0,2,7260.0,21698.0,4.0,0,0,11.0,3.0,1.0,80.0,0.0,37.0,3.0,2.0,6.0,4.0,0.0,2.0,0
23.0,2,541.0,2,2.0,1.0,5,1.0,113.0,3.0,1,62.0,3.0,1.0,8,1.0,0,2322.0,9518.0,3.0,0,0,13.0,3.0,3.0,80.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0
51.0,2,432.0,1,9.0,4.0,1,1.0,116.0,4.0,1,96.0,3.0,1.0,2,4.0,1,2075.0,18725.0,3.0,0,0,23.0,4.0,2.0,80.0,2.0,10.0,4.0,3.0,4.0,2.0,0.0,3.0,0
30.0,2,288.0,1,2.0,3.0,1,1.0,117.0,3.0,1,99.0,2.0,2.0,0,4.0,1,4152.0,15830.0,1.0,0,0,19.0,3.0,1.0,80.0,3.0,11.0,3.0,3.0,11.0,10.0,10.0,8.0,0
46.0,2,669.0,2,9.0,2.0,3,1.0,118.0,3.0,1,64.0,2.0,3.0,7,4.0,2,9619.0,13596.0,1.0,0,0,16.0,3.0,4.0,80.0,0.0,9.0,3.0,3.0,9.0,8.0,4.0,7.0,1
40.0,1,530.0,1,1.0,4.0,1,1.0,119.0,3.0,1,78.0,2.0,4.0,0,2.0,1,13503.0,14115.0,1.0,0,0,22.0,4.0,4.0,80.0,1.0,22.0,3.0,2.0,22.0,3.0,11.0,11.0,0
51.0,2,632.0,2,21.0,4.0,2,1.0,120.0,3.0,1,71.0,3.0,2.0,7,4.0,2,5441.0,8423.0,0.0,0,1,22.0,4.0,4.0,80.0,0.0,11.0,2.0,1.0,10.0,7.0,1.0,0.0,0
30.0,2,1334.0,2,4.0,2.0,3,1.0,121.0,3.0,0,63.0,2.0,2.0,7,2.0,0,5209.0,19760.0,1.0,0,1,12.0,3.0,2.0,80.0,3.0,11.0,4.0,2.0,11.0,8.0,2.0,7.0,0
46.0,1,638.0,1,1.0,3.0,3,1.0,124.0,3.0,1,40.0,2.0,3.0,0,1.0,1,10673.0,3142.0,2.0,0,1,13.0,3.0,3.0,80.0,1.0,21.0,5.0,2.0,10.0,9.0,9.0,5.0,0
32.0,2,1093.0,2,6.0,4.0,3,1.0,125.0,2.0,1,87.0,3.0,2.0,7,3.0,2,5010.0,24301.0,1.0,0,0,16.0,3.0,1.0,80.0,0.0,12.0,0.0,3.0,11.0,8.0,5.0,7.0,0
54.0,2,1217.0,1,2.0,4.0,5,1.0,126.0,1.0,0,60.0,3.0,3.0,5,3.0,1,13549.0,24001.0,9.0,0,0,12.0,3.0,1.0,80.0,1.0,16.0,5.0,1.0,4.0,3.0,0.0,3.0,0
24.0,2,1353.0,2,3.0,2.0,4,1.0,128.0,1.0,0,33.0,3.0,2.0,7,3.0,1,4999.0,17519.0,0.0,0,0,21.0,4.0,1.0,80.0,1.0,4.0,2.0,2.0,3.0,2.0,0.0,2.0,0
28.0,0,120.0,2,4.0,3.0,3,1.0,129.0,2.0,1,43.0,3.0,2.0,7,3.0,1,4221.0,8863.0,1.0,0,0,15.0,3.0,2.0,80.0,0.0,5.0,3.0,4.0,5.0,4.0,0.0,4.0,0
58.0,2,682.0,2,10.0,4.0,3,1.0,131.0,4.0,1,37.0,3.0,4.0,7,3.0,2,13872.0,24409.0,0.0,0,0,13.0,3.0,3.0,80.0,0.0,38.0,1.0,2.0,37.0,10.0,1.0,8.0,0
44.0,0,489.0,1,23.0,3.0,3,1.0,132.0,2.0,1,67.0,3.0,2.0,2,2.0,1,2042.0,25043.0,4.0,0,0,12.0,3.0,3.0,80.0,1.0,17.0,3.0,4.0,3.0,2.0,1.0,2.0,0
37.0,2,807.0,0,6.0,4.0,0,1.0,133.0,3.0,1,63.0,3.0,1.0,1,1.0,0,2073.0,23648.0,4.0,0,1,22.0,4.0,4.0,80.0,0.0,7.0,3.0,3.0,3.0,2.0,0.0,2.0,1
32.0,2,827.0,1,1.0,1.0,1,1.0,134.0,4.0,1,71.0,3.0,1.0,6,1.0,2,2956.0,15178.0,1.0,0,0,13.0,3.0,4.0,80.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0
20.0,1,871.0,1,6.0,3.0,1,1.0,137.0,4.0,0,66.0,2.0,1.0,2,4.0,2,2926.0,19783.0,1.0,0,1,18.0,3.0,2.0,80.0,0.0,1.0,5.0,3.0,1.0,0.0,1.0,0.0,1
34.0,2,665.0,1,6.0,4.0,4,1.0,138.0,1.0,0,41.0,3.0,2.0,6,3.0,2,4809.0,12482.0,1.0,0,0,14.0,3.0,3.0,80.0,0.0,16.0,3.0,3.0,16.0,13.0,2.0,10.0,0
37.0,0,1040.0,1,2.0,2.0,1,1.0,139.0,3.0,1,100.0,2.0,2.0,0,4.0,0,5163.0,15850.0,5.0,0,0,14.0,3.0,4.0,80.0,1.0,17.0,2.0,4.0,1.0,0.0,0.0,0.0,0
59.0,0,1420.0,0,2.0,4.0,0,1.0,140.0,3.0,0,32.0,2.0,5.0,3,4.0,1,18844.0,21922.0,9.0,0,0,21.0,4.0,4.0,80.0,1.0,30.0,3.0,3.0,3.0,2.0,2.0,2.0,0
50.0,1,1115.0,1,1.0,3.0,1,1.0,141.0,1.0,0,73.0,3.0,5.0,5,2.0,1,18172.0,9755.0,3.0,0,1,19.0,3.0,1.0,80.0,0.0,28.0,1.0,2.0,8.0,3.0,0.0,7.0,0
25.0,2,240.0,2,5.0,3.0,2,1.0,142.0,3.0,1,46.0,2.0,2.0,7,3.0,2,5744.0,26959.0,1.0,0,1,11.0,3.0,4.0,80.0,0.0,6.0,1.0,3.0,6.0,4.0,0.0,3.0,1
